Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,30 Day STD,Middle_band,Upper_band,Lower_band
2017-07-14,RBLBANK,EQ,546.35,549.75,551.75,538.45,540.25,540.75,542.82,1083576,588186762.65,19109,385794,35.6,7,2017,526.668203557832,-1.0249839846252495,Negative,12.781906414105725,519.4350000000001,544.9988128282115,493.8711871717886
2017-07-17,RBLBANK,EQ,540.75,542.0,545.0,519.75,524.15,529.45,534.63,1232430,658895570.0,15498,707363,57.4,7,2017,526.7167966810787,-2.0896902450300403,Negative,12.925609778958371,520.1575,546.0087195579167,494.3062804420833
2017-07-18,RBLBANK,EQ,529.45,522.6,526.5,517.35,521.5,521.45,522.43,1388550,725421001.05,29365,723514,52.11,7,2017,526.6151411710852,-1.5110019831901078,Negative,12.673852849573445,520.7625,546.110205699147,495.41479430085315
2017-07-19,RBLBANK,EQ,521.45,523.95,541.3,522.05,540.5,537.6,531.85,1884008,1002004913.9,23524,882459,46.84,7,2017,526.8954734161558,3.0971329945344683,Among top gainers,12.92255881456139,522.1600000000001,548.0051176291229,496.3148823708773
2017-07-20,RBLBANK,EQ,537.6,542.5,547.0,536.0,538.5,539.45,541.99,2053946,1113222986.35,28463,804298,39.16,7,2017,527.2353078484741,0.3441220238095344,Slight or no change,13.24957273392569,523.5225000000002,550.0216454678515,497.02335453214874
2017-07-21,RBLBANK,EQ,539.45,540.0,544.5,528.0,532.0,532.35,535.27,2057774,1101454585.45,26277,454476,22.09,7,2017,527.3703515632612,-1.316155343405323,Negative,13.083345178227141,524.5550000000001,550.7216903564544,498.38830964354577
2017-07-24,RBLBANK,EQ,532.35,531.8,538.7,522.5,524.1,524.25,530.02,865534,458748266.8,14958,359042,41.48,7,2017,527.3360788605671,-1.5215553677092153,Negative,12.323688144126804,525.4750000000001,550.1223762882537,500.8276237117465
2017-07-25,RBLBANK,EQ,524.25,528.0,530.75,524.45,529.65,529.1,528.88,680352,359821219.0,11114,279233,41.04,7,2017,527.3511775784943,0.925131139723412,Slight positive,11.709996572879472,526.4825000000001,549.902493145759,503.0625068542411
2017-07-26,RBLBANK,EQ,529.1,530.0,530.5,525.05,528.5,528.3,528.81,781054,413029378.45,17835,448762,57.46,7,2017,527.3604106539659,-0.15120015120015928,Slight or no change,10.602239088240607,527.63,548.8344781764812,506.4255218235188
2017-07-27,RBLBANK,EQ,528.3,529.6,544.0,517.85,533.7,538.2,534.11,3193974,1705933978.5,26325,1592562,49.86,7,2017,527.7752476759049,1.873935264054527,Positive,8.926689726527416,529.45,547.3033794530548,511.5966205469452
2017-07-28,RBLBANK,EQ,538.2,533.0,539.8,528.0,532.4,534.45,534.48,723003,386431517.4,11252,256656,35.5,7,2017,527.8325750992881,-0.6967670011148286,Slight negative,7.3716937281101105,530.7850000000001,545.5283874562203,516.0416125437798
2017-07-31,RBLBANK,EQ,534.45,533.0,538.5,528.0,535.85,534.75,534.41,830068,443596666.2,12545,327957,39.51,7,2017,527.9001186501821,0.056132472635406216,Slight or no change,6.737422492475151,531.6375,545.1123449849504,518.1626550150497
2017-08-01,RBLBANK,EQ,534.75,537.85,539.5,527.0,531.85,530.45,533.3,1033386,551109788.3,18622,518068,50.13,8,2017,527.930742577432,-0.8041140719962536,Slight negative,6.338508042949128,532.0700000000002,544.7470160858984,519.3929839141019
2017-08-02,RBLBANK,EQ,530.45,531.95,535.75,526.35,526.55,527.4,532.0,1033249,549684640.45,15778,606276,58.68,8,2017,527.9244448600766,-0.5749835045716023,Slight negative,6.170888253899082,532.2275000000002,544.5692765077983,519.885723492202
2017-08-03,RBLBANK,EQ,527.4,526.55,531.2,515.0,519.0,517.35,522.65,914352,477889310.85,13596,429479,46.97,8,2017,527.8145623099047,-1.9055745164960116,Negative,6.834961883388456,531.8525000000002,545.5224237667771,518.1825762332232
2017-08-04,RBLBANK,EQ,517.35,519.0,519.0,508.5,514.0,515.05,513.67,1116067,573285327.65,17628,546527,48.97,8,2017,527.6546874844288,-0.4445733062723667,Slight or no change,7.7434335509449514,531.2550000000001,546.74186710189,515.7681328981103
2017-08-07,RBLBANK,EQ,515.05,518.7,523.35,517.0,520.0,519.45,520.59,582059,303012319.25,8389,269037,46.22,8,2017,527.6014416884594,0.8542859916513157,Slight positive,8.169768968582009,530.5975000000001,546.9370379371641,514.2579620628361
2017-08-08,RBLBANK,EQ,519.45,521.85,522.0,506.2,511.0,511.8,513.27,954207,489761576.0,12301,426038,44.65,8,2017,527.4351005960161,-1.4727115218019171,Negative,9.173447093593198,529.5850000000002,547.9318941871866,511.2381058128137
2017-08-09,RBLBANK,EQ,511.8,512.4,512.4,493.2,495.0,497.2,501.93,1320783,662934898.15,27789,690071,52.25,8,2017,527.0008697723235,-2.852676826885503,Negative,11.615634597613264,527.7575000000002,550.9887691952267,504.52623080477366
2017-08-10,RBLBANK,EQ,497.2,499.7,505.0,482.35,492.0,490.35,494.94,1507305,746021460.75,33173,579361,38.44,8,2017,526.4098489215522,-1.3777152051488215,Negative,13.495372257497369,524.9575000000002,551.9482445149949,497.9667554850055
2017-08-11,RBLBANK,EQ,490.35,477.0,498.95,474.95,490.05,490.3,486.9,1164361,566927147.75,16991,407660,35.01,8,2017,525.9655715275891,-0.010196798205364122,Slight or no change,15.017280397140025,522.4350000000002,552.4695607942803,492.40043920572015
2017-08-14,RBLBANK,EQ,490.3,492.8,501.9,490.6,498.0,497.75,497.59,673664,335211736.35,15663,259143,38.47,8,2017,525.7661405851387,1.5194778706914214,Positive,15.88569366310159,520.8500000000001,552.6213873262033,489.07861267379695
2017-08-16,RBLBANK,EQ,497.75,499.05,526.7,499.0,525.15,523.9,514.18,1816633,934076504.6,61636,829814,45.68,8,2017,525.7312368370643,5.2536413862380735,Among top gainers,15.900003930817476,520.9725000000001,552.7725078616351,489.1724921383651
2017-08-17,RBLBANK,EQ,523.9,526.0,527.0,513.7,517.1,516.95,518.28,1199659,621763302.5,30756,495857,41.33,8,2017,525.6240990426887,-1.3265890437106242,Negative,15.426869928455524,519.94,550.7937398569111,489.086260143089
2017-08-18,RBLBANK,EQ,516.95,514.8,529.5,506.0,527.4,527.25,523.82,2050151,1073903077.05,47317,911055,44.44,8,2017,525.6573073709872,1.9924557500725413,Positive,14.84504524819862,519.33,549.0200904963973,489.6399095036028
2017-08-21,RBLBANK,EQ,527.25,528.95,529.8,503.5,507.5,506.8,515.77,1252384,645937873.75,18771,488106,38.97,8,2017,525.4249271443805,-3.878615457562829,Among top losers,14.764773823280985,518.0525,547.5820476465619,488.52295235343803
