Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
2019-04-18,RBLBANK,EQ,2019-04-18,680.3,684.2,686.45,668.1,677.0,675.45,678.24,3414687,2315977732.55,53543,487359,14.27,4,2019,549.4164964102464,-0.7129207702484042,Slight negative
2019-04-22,RBLBANK,EQ,2019-04-22,675.45,676.95,682.9,663.15,681.4,681.1,675.6,1681191,1135819730.95,33341,369551,21.98,4,2019,549.7272469918562,0.8364793841142859,Slight positive
2019-04-23,RBLBANK,EQ,2019-04-23,681.1,681.0,686.9,670.9,675.15,673.35,678.36,1683991,1142343952.15,28866,448405,26.63,4,2019,550.0187723526069,-1.1378652180296545,Negative
2019-04-24,RBLBANK,EQ,2019-04-24,673.35,677.7,679.35,667.7,670.35,672.75,672.51,1305166,877738437.95,29325,650392,49.83,4,2019,550.2426784708697,-0.08910670527957354,Slight or no change
2019-04-25,RBLBANK,EQ,2019-04-25,672.75,671.5,674.6,664.4,667.05,665.95,669.19,1051963,703958898.75,14965,408419,38.82,4,2019,550.4125686614993,-1.0107766629505743,Negative
2019-04-26,RBLBANK,EQ,2019-04-26,665.95,671.2,671.55,660.0,669.0,669.9,666.15,835728,556724224.4,24570,311587,37.28,4,2019,550.5517842545974,0.5931376229446617,Slight positive
2019-04-30,RBLBANK,EQ,2019-04-30,669.9,670.0,681.9,664.2,676.1,678.85,675.94,1337000,903731138.15,23031,527997,39.49,4,2019,550.7904796175474,1.3360203015375438,Positive
2019-05-02,RBLBANK,EQ,2019-05-02,678.85,678.75,685.2,661.05,662.2,662.45,672.47,1360050,914599184.85,36929,606816,44.62,5,2019,551.0014014058837,-2.41585033512558,Negative
2019-05-03,RBLBANK,EQ,2019-05-03,662.45,665.3,674.0,663.0,674.0,672.2,669.14,1294837,866426496.9,43503,571102,44.11,5,2019,551.2189734931087,1.4718091931466448,Positive
2019-05-06,RBLBANK,EQ,2019-05-06,672.2,666.0,670.5,660.55,662.9,664.05,664.88,889968,591723644.35,23865,499084,56.08,5,2019,551.3580192954703,-1.212436774769432,Negative
2019-05-07,RBLBANK,EQ,2019-05-07,664.05,668.0,676.5,661.8,666.05,665.95,669.97,897661,601401506.1,20514,295534,32.92,5,2019,551.5002790474665,0.28612303290416197,Slight or no change
2019-05-08,RBLBANK,EQ,2019-05-08,665.95,665.8,667.6,650.55,652.85,652.8,656.0,971817,637510825.55,16786,439451,45.22,5,2019,551.6362433515145,-1.9746227194233912,Negative
2019-05-09,RBLBANK,EQ,2019-05-09,652.8,649.3,664.2,648.3,660.0,661.85,655.89,887749,582262846.4,34896,267781,30.16,5,2019,551.7712098567292,1.3863357843137303,Positive
2019-05-10,RBLBANK,EQ,2019-05-10,661.85,660.0,676.9,659.0,674.35,675.0,670.22,911404,610844735.5,47747,281312,30.87,5,2019,551.9259409021182,1.9868550275742303,Positive
2019-05-13,RBLBANK,EQ,2019-05-13,675.0,675.3,677.85,657.1,660.25,659.5,663.23,753274,499594056.95,33701,264755,35.15,5,2019,552.0374638930035,-2.2962962962962963,Negative
